Rk,Player,Position,Game,Games Started,Mins Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Points,Awards
284,Goga Bitadze,C,70,42,20.4,3,4.8,0.611,0,0.4,0.107,2.9,4.4,0.656,0.615,1.2,1.9,0.639,2.4,4.2,6.6,3.9,0.7,0.7,2.1,1.5,20.3,
298,Isaiah Jackson,C,5,1,16.8,2.8,4.6,0.609,0,0,,2.8,4.6,0.609,0.609,1.4,2.8,0.5,2.2,3.4,5.6,5.8,1.1,0.3,2.4,2.1,20.2,
300,Orlando Robinson,C,44,8,17.5,2.6,5.9,0.444,0.4,1.2,0.327,2.3,4.8,0.474,0.477,1.2,1.6,0.771,2,3,5,3.4,0.9,0.5,1.4,2.4,20.2,AS
303,Jay Huff,C,64,2,11.7,2.5,4.8,0.515,1.3,3.1,0.405,1.2,1.6,0.724,0.648,0.7,0.9,0.786,0.5,1.5,2,2.1,0.7,1.5,1.3,2.8,19.5,
309,Jaxson Hayes,C,56,35,19.5,2.9,4,0.722,0,0.1,0,2.9,3.9,0.732,0.722,1.1,1.8,0.622,1.4,3.4,4.8,5.8,1.4,1,2.8,1.7,19.3,
314,Precious Achiuwa,C,57,10,20.5,2.9,5.7,0.502,0.2,0.6,0.278,2.7,5.1,0.529,0.517,0.7,1.2,0.594,1.8,3.8,5.6,4.8,0.9,0.1,2,1.7,19.3,
315,Trayce Jackson-Davis,C,62,37,15.6,2.8,4.9,0.576,0,0,0,2.8,4.8,0.582,0.576,1,1.6,0.578,2,3,5,5.3,1.2,0.4,2.4,2.4,19.2,
318,Thomas Bryant,C,66,8,14.6,2.5,4.9,0.508,0.7,2.2,0.324,1.7,2.6,0.665,0.583,0.8,1,0.859,1.3,2.5,3.8,6,0.7,0.4,2.9,3.3,19.1,
319,Donovan Clingan,C,67,37,19.8,2.7,5,0.539,0.2,0.7,0.286,2.5,4.3,0.582,0.56,0.9,1.6,0.596,3.2,4.6,7.9,4.9,1.1,0.8,2.6,2.8,19.1,AS
340,N'Faly Dante,C,4,0,12.8,2.5,3.3,0.769,0,0,,2.5,3.3,0.769,0.769,1,1.3,0.8,1.5,3.8,5.3,2,1,1,2.6,2.9,19,
